Reason,BlockedDate,UnblockDate,PassengerID
Suspicious booking patterns,2020-08-27,2021-03-06,422491937
Suspicious booking patterns,2022-11-07,,249906301
Suspicious booking patterns,2023-05-11,,464574380
Aggressive behavior,2020-01-29,,225822846
Payment issues,2023-02-17,,346831141
Fake ID used,2023-12-14,,405720406
Fake ID used,2021-08-13,,250252299
Aggressive behavior,2022-12-21,,290244872
Violation of terms,2021-09-22,,351296370
Fake ID used,2021-10-18,2022-10-07,394893493
Violation of terms,2023-02-28,,317222971
Suspicious booking patterns,2022-05-02,,355971544
Aggressive behavior,2024-08-21,,311985091
Violation of terms,2022-08-21,,336036009
Payment issues,2022-08-05,,355032950
Multiple no-shows,2024-12-29,2025-12-24,350058443
Payment issues,2022-06-17,,237057583
Fraudulent activity,2021-07-28,2021-09-01,418248543
Fake ID used,2023-01-31,,398298090
Suspicious booking patterns,2021-08-17,,241800762
Payment issues,2022-07-20,2022-12-08,422810336
Fraudulent activity,2022-10-05,,431304405
Aggressive behavior,2021-12-20,2022-06-27,320140393
Fake ID used,2023-05-06,,420172906
Fake ID used,2022-09-02,2023-09-20,483412254
Violation of terms,2020-12-21,,211669312
Fake ID used,2023-03-16,,316261920
Fake ID used,2022-10-12,2023-10-01,418549852
Payment issues,2021-05-06,,307763260
Payment issues,2024-11-02,,360687533
Aggressive behavior,2022-07-31,,319196425
Suspicious booking patterns,2020-01-28,,393142968
Aggressive behavior,2021-04-07,2022-05-16,305166783
Fake ID used,2022-04-16,,439187098
Payment issues,2021-03-13,,292164979
Fraudulent activity,2022-09-10,,380484481
Fake ID used,2022-01-15,,305598446
Aggressive behavior,2023-08-21,,352047784
Aggressive behavior,2023-05-20,,316686815
Violation of terms,2024-12-11,2025-05-31,434479234
Aggressive behavior,2020-01-14,2020-03-08,498396637
Violation of terms,2020-03-04,2020-09-07,249878744
Violation of terms,2022-02-19,,459198840
Payment issues,2022-03-23,2022-11-09,349026307
Aggressive behavior,2024-07-01,,311243367
Fraudulent activity,2021-01-15,,417374957
Payment issues,2023-07-25,,321136274
Violation of terms,2024-01-20,,333408956
Aggressive behavior,2021-10-03,,234712072
Suspicious booking patterns,2021-02-07,,403452672
Multiple no-shows,2023-09-30,,325768507
Violation of terms,2024-12-06,2025-09-07,252012139
Violation of terms,2022-01-31,,359879878
Fraudulent activity,2024-11-29,,282574079
Fraudulent activity,2024-07-21,2025-08-03,473752179
Fraudulent activity,2024-09-09,,326273549
Aggressive behavior,2023-01-18,2024-02-16,227728286
Fake ID used,2022-05-08,,259305502
Violation of terms,2022-12-16,,395008003
Fraudulent activity,2021-01-16,,281644327
Multiple no-shows,2023-12-22,,461461681
Aggressive behavior,2020-04-03,,305140042
Multiple no-shows,2023-12-15,,373832007
Fake ID used,2021-06-16,2022-01-17,293393899
Aggressive behavior,2023-07-08,,363649146
Violation of terms,2021-05-24,2022-03-05,381840714
Multiple no-shows,2022-07-17,,293050362
Payment issues,2024-05-15,,454110306
Fraudulent activity,2024-04-04,,253144005
Aggressive behavior,2024-08-31,,485097244
Aggressive behavior,2022-05-07,,241805045
Fraudulent activity,2024-10-13,,357475751
Fake ID used,2022-02-04,2023-01-01,433725620
Violation of terms,2022-05-09,2023-01-03,248461650
Violation of terms,2021-01-03,,367389286
Aggressive behavior,2022-02-15,,441459496
Aggressive behavior,2021-02-27,,371003433
Payment issues,2023-01-15,,338916375
Payment issues,2020-09-14,,240321712
Payment issues,2020-07-15,2021-01-23,379556423
Suspicious booking patterns,2024-01-06,2024-11-24,235591433
Multiple no-shows,2024-09-23,2025-10-14,385233551
Multiple no-shows,2021-07-28,,332033908
Fake ID used,2022-03-09,2022-04-15,296017350
Payment issues,2023-01-10,,386671553
Payment issues,2023-01-06,,417250079
Suspicious booking patterns,2024-02-23,,258220628
Aggressive behavior,2022-07-02,,440277703
Aggressive behavior,2021-12-27,2022-09-27,287203807
Violation of terms,2021-07-17,,388083469
Fake ID used,2024-02-28,,458105415
Fake ID used,2023-01-10,,416672116
Aggressive behavior,2022-11-01,,297154235
Aggressive behavior,2022-01-14,,488158618
Aggressive behavior,2020-10-10,2021-07-05,403414156
Fraudulent activity,2021-08-25,,340871210
Suspicious booking patterns,2020-09-02,,223508928
Payment issues,2020-10-01,2021-07-20,241228265
Multiple no-shows,2022-06-19,2023-07-27,449210707
Multiple no-shows,2024-06-03,,225375571
